,yiaD_151_G->T,ybiB~~~ybiB_1~~~ybiB_2_868_G->C,group_6371_338_A->G,parC_1~~~parC_3~~~parC~~~parC_2_239_G->T,group_4923_1409_G->A,glnQ_7~~~glnQ_6~~~glnQ_8~~~glnQ_5~~~glnQ_2_592_G->T,araB_1_290_T->C,label,group_3062,klcA_3,group_2236,fhlA~~~fhlA_2,group_6768,group_12275,amr_blaKPC-2-cluster1,amr_blaKPC-2-cluster2,group_2230,group_2119
GN071400,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN181020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN201603,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022073925,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN181609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN131117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN131348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN141983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN110777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022085415,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
GN122729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022076285,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN122852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN151764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022087405,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1,1,1,1,1,1,0
GN201832,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022062865,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1,1,1,0,1,0,0
GN201432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_000693935,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1,1,1,0,1,0
GCA_022085155,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1,1,1,1,0,1,0
GN172605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN190801,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN180567,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,1,1,1,1,0,1,0,0,1
GN131890,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022074885,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022069955,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1,1,1,1,1,1,0
GCA_022086345,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022059515,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN110103,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN201216,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN090536,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN191655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN165010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN132098,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN201877,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
GCA_022067745,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022068665,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN192376,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_002202215,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0
GN060426,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_003204465,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0
GCA_022060725,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022082415,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022076845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022091595,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,0,0,1,0,1,0,1,0,0
GN100655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022061445,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,1,1,1,1,0
GCA_022082895,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN203684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN060371,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN192372,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0,1,1,1,1,0,1,0,0,1
GN201881,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN200795,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN201404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN120356,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_000688635,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0
GN101475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN141320,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN192584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN132294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN181353,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN183491,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN193722,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN120438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN091090,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN120637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN173191,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN181921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN180472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN202496,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN181932,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN071161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN183245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN183276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN171743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0
GCA_022078005,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1,1,1,1,0,1,0
GN110525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN203728,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN182534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022059135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN101241,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022077485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN122740,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN171918,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN110322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN192364,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN191724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
GN131166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN090499,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN120903,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN172573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN201155,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN193480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022084095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN132291,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN171465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN201587,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0,1,1,1,1,0,0,1,0,1
GN130358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN132089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN120794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN060006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022071225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN172074,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_000567345,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,0,1,0
GCA_022079695,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN181349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN090857,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN173190,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022073205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,1,1,1,1,0,1,0
GN203458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022066465,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,1,1,1,0,1,0,0
GCA_022067165,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN201248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN121536,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022062045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN080924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN200960,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN172531,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0,0,1,1,1,0,1,0,0,0
GN120483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022077785,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN193500,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN140463,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN202408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN182882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN141606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN120629,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN173041,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN180775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN110337,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN120989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022060665,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1,1,0,1,0
GN141430,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0
GCA_022063045,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,1,1,1,1,0
GN201181,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN191042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN131558,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,1,1,1,0,0,0,1,0,1
GN120973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN193441,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN203591,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022072825,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN121952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN080431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022081395,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN080408,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022115075,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN060831,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN080469,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022081055,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0
GN192325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN091054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022072925,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,1,1,1,1,0
GCA_022089415,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0
GN201545,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GCA_022061565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN081158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN101707,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,1,0,1,1,0,0,1,0,1
GN132218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0
GN122843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022061065,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
GCA_022075625,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1,1,1,1,1,1,0
GN120657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN090336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN122744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN140712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022089515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
GCA_022064705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
GCA_022058815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN181725,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0
GN120956,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN120782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN060952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022080775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN181211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022088325,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,0,1,1,1,0,1,0
GCA_000694135,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1,1,1,0,1,0
GN151533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN190474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0
GN202416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022076925,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022072345,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,0,0,1,0,1,0,0
GN110292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN165036,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,1,1,1,1,0,0,1,0,1
GN201605,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN141817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN193735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022061085,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,0,0,1,0,1,1,1,1,0
GN060431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN142479,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN121857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN122433,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN191094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN180768,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN100933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GN171839,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GCA_022070325,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN191692,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0,0,1,1,1,0,1,0,0,0
GN141432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN091601,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN110812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN101092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN101082,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN130024,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN132085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN201222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN131678,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN183602,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN142119,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN172662,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN201366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN172499,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022081515,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN180020,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN182148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0
GN110072,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_022077445,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GCA_002055855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0
GCA_022073905,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1,0,1,0,0
GN191170,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN090860,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
GCA_000693895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,1,0,1,0
GCA_022075845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
GCA_022065125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0
GCA_022084055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,1,1,1,1,0
GN122737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN090197,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN172712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0
GN151111,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0
